05.01.2006	16:53
Strøm 3,3V  	  Strøm 2,5V	    Teller	       Sendt	        Mottatt	            Sjekk	       Sekunder	   Sendt	     Mottatt
25,38     	  39,11   	    0      	       1000101      	0         	    FALSE 	       55,81  	   45     	     0         
25,24     	  39,52   	    0      	       1001010      	0         	    FALSE 	       55,91  	   4A     	     0         
25,34     	  39,43   	    0      	       1000101      	0         	    FALSE 	       56,01  	   45     	     0         
25,33     	  39,19   	    0      	       1001010      	0         	    FALSE 	       56,11  	   4A     	     0         
25,87     	  39,24   	    0      	       1000101      	0         	    FALSE 	       56,21  	   45     	     0         
28,98     	  39,47   	    0      	       1001010      	0         	    FALSE 	       56,31  	   4A     	     0         
28,79     	  39,31   	    0      	       1000101      	0         	    FALSE 	       56,41  	   45     	     0         
28,52     	  39,17   	    0      	       1001010      	0         	    FALSE 	       56,51  	   4A     	     0         
29,29     	  39,20   	    0      	       1000101      	0         	    FALSE 	       56,61  	   45     	     0         
28,73     	  39,42   	    0      	       1001010      	0         	    FALSE 	       56,71  	   4A     	     0         
25,37     	  39,28   	    0      	       1000101      	0         	    FALSE 	       56,81  	   45     	     0         
25,67     	  39,25   	    0      	       1001010      	0         	    FALSE 	       56,92  	   4A     	     0         
25,81     	  39,13   	    0      	       1000101      	0         	    FALSE 	       57,01  	   45     	     0         
25,67     	  39,46   	    0      	       1001010      	0         	    FALSE 	       57,11  	   4A     	     0         
25,73     	  39,28   	    0      	       1000101      	0         	    FALSE 	       57,21  	   45     	     0         
29,12     	  39,34   	    0      	       1001010      	0         	    FALSE 	       57,31  	   4A     	     0         
28,84     	  39,17   	    0      	       1000101      	0         	    FALSE 	       57,41  	   45     	     0         
28,80     	  39,48   	    0      	       1001010      	0         	    FALSE 	       57,51  	   4A     	     0         
29,03     	  39,23   	    0      	       1000101      	0         	    FALSE 	       57,61  	   45     	     0         
28,99     	  39,34   	    0      	       1001010      	0         	    FALSE 	       57,71  	   4A     	     0         
25,90     	  39,17   	    0      	       1000101      	0         	    FALSE 	       57,81  	   45     	     0         
25,12     	  39,55   	    0      	       1001010      	0         	    FALSE 	       57,91  	   4A     	     0         
25,70     	  39,28   	    0      	       1000101      	0         	    FALSE 	       58,00  	   45     	     0         
25,37     	  39,20   	    0      	       1001010      	0         	    FALSE 	       58,10  	   4A     	     0         
25,70     	  39,11   	    0      	       1000101      	0         	    FALSE 	       58,21  	   45     	     0         
28,44     	  39,47   	    0      	       1001010      	0         	    FALSE 	       58,30  	   4A     	     0         
28,99     	  39,32   	    0      	       1000101      	0         	    FALSE 	       58,40  	   45     	     0         
28,43     	  39,33   	    0      	       1001010      	0         	    FALSE 	       58,50  	   4A     	     0         
25,24     	  39,14   	    0      	       1000101      	0         	    FALSE 	       58,60  	   45     	     0         
25,28     	  39,47   	    0      	       1001010      	10101010  	    TRUE  	       58,90  	   4A     	     AA        
25,14     	  39,25   	    0      	       1000101      	1010101   	    TRUE  	       59,91  	   45     	     55        
25,34     	  39,09   	    0      	       1001010      	10101010  	    TRUE  	       60,91  	   4A     	     AA        
26,04     	  39,06   	    0      	       1000101      	1010101   	    TRUE  	       61,91  	   45     	     55        
24,93     	  39,47   	    0      	       1001010      	10101010  	    TRUE  	       62,93  	   4A     	     AA        
25,56     	  39,28   	    0      	       1000101      	1010101   	    TRUE  	       63,91  	   45     	     55        
25,19     	  39,10   	    0      	       1001010      	10101010  	    TRUE  	       64,90  	   4A     	     AA        
25,46     	  39,13   	    0      	       1000101      	1010101   	    TRUE  	       65,90  	   45     	     55        
25,57     	  39,28   	    0      	       1001010      	10101010  	    TRUE  	       66,91  	   4A     	     AA        
25,70     	  39,29   	    0      	       1000101      	1010101   	    TRUE  	       67,91  	   45     	     55        
25,67     	  39,15   	    0      	       1001010      	10101010  	    TRUE  	       68,93  	   4A     	     AA        
25,80     	  39,13   	    0      	       1000101      	1010101   	    TRUE  	       69,91  	   45     	     55        
25,02     	  39,32   	    0      	       1001010      	10101010  	    TRUE  	       70,91  	   4A     	     AA        
25,37     	  39,28   	    0      	       1000101      	1010101   	    TRUE  	       71,91  	   45     	     55        
25,28     	  39,17   	    0      	       1001010      	10101010  	    TRUE  	       72,90  	   4A     	     AA        
25,42     	  39,20   	    0      	       1000101      	1010101   	    TRUE  	       73,92  	   45     	     55        
25,44     	  39,47   	    0      	       1001010      	10101010  	    TRUE  	       74,93  	   4A     	     AA        
25,70     	  39,29   	    0      	       1000101      	1010101   	    TRUE  	       76,00  	   45     	     55        
25,75     	  39,25   	    0      	       1001010      	10101010  	    TRUE  	       76,91  	   4A     	     AA        
25,57     	  39,10   	    0      	       1000101      	1010101   	    TRUE  	       77,91  	   45     	     55        
25,67     	  39,37   	    0      	       1001010      	10101010  	    TRUE  	       78,91  	   4A     	     AA        
25,73     	  39,23   	    0      	       1000101      	1010101   	    TRUE  	       79,90  	   45     	     55        
25,52     	  39,20   	    0      	       1001010      	10101010  	    TRUE  	       80,93  	   4A     	     AA        
25,89     	  39,08   	    0      	       1000101      	1010101   	    TRUE  	       81,91  	   45     	     55        
25,42     	  39,48   	    0      	       1001010      	10101010  	    TRUE  	       82,91  	   4A     	     AA        
25,47     	  39,28   	    0      	       1000101      	1010101   	    TRUE  	       83,91  	   45     	     55        
25,38     	  39,20   	    0      	       1001010      	10101010  	    TRUE  	       84,91  	   4A     	     AA        
25,40     	  39,11   	    0      	       1000101      	1010101   	    TRUE  	       85,90  	   45     	     55        
25,71     	  39,34   	    0      	       1001010      	10101010  	    TRUE  	       86,92  	   4A     	     AA        
25,26     	  39,32   	    0      	       1000101      	1010101   	    TRUE  	       87,91  	   45     	     55        
25,43     	  39,34   	    0      	       1001010      	10101010  	    TRUE  	       88,91  	   4A     	     AA        
25,37     	  39,17   	    0      	       1000101      	1010101   	    TRUE  	       89,91  	   45     	     55        
25,33     	  39,37   	    0      	       1001010      	10101010  	    TRUE  	       90,91  	   4A     	     AA        
25,16     	  39,37   	    0      	       1000101      	1010101   	    TRUE  	       91,91  	   45     	     55        
25,19     	  39,22   	    0      	       1001010      	10101010  	    TRUE  	       92,93  	   4A     	     AA        
25,57     	  39,19   	    0      	       1000101      	1010101   	    TRUE  	       93,90  	   45     	     55        
25,53     	  39,28   	    0      	       1001010      	10101010  	    TRUE  	       94,91  	   4A     	     AA        
25,71     	  39,29   	    0      	       1000101      	1010101   	    TRUE  	       95,91  	   45     	     55        
25,71     	  39,19   	    0      	       1001010      	10101010  	    TRUE  	       96,91  	   4A     	     AA        
25,75     	  39,17   	    0      	       1000101      	1010101   	    TRUE  	       97,01  	   45     	     55        
25,44     	  39,38   	    0      	       1001010      	10101010  	    TRUE  	       97,11  	   4A     	     AA        
25,33     	  39,22   	    0      	       1000101      	1010101   	    TRUE  	       97,21  	   45     	     55        
28,58     	  39,17   	    0      	       1001010      	10101010  	    TRUE  	       97,31  	   4A     	     AA        
28,66     	  39,13   	    0      	       1000101      	1010101   	    TRUE  	       97,41  	   45     	     55        
28,38     	  39,42   	    0      	       1001010      	10101010  	    TRUE  	       97,51  	   4A     	     AA        
29,03     	  39,33   	    0      	       1000101      	1010101   	    TRUE  	       97,61  	   45     	     55        
28,46     	  39,14   	    0      	       1001010      	10101010  	    TRUE  	       97,71  	   4A     	     AA        
25,63     	  39,14   	    0      	       1000101      	1010101   	    TRUE  	       97,81  	   45     	     55        
25,47     	  39,45   	    0      	       1001010      	10101010  	    TRUE  	       97,91  	   4A     	     AA        
25,65     	  39,27   	    0      	       1000101      	1010101   	    TRUE  	       98,01  	   45     	     55        
