10.11.2005	12:15
Strøm 3,3V  	  Strøm 2,5V	    Teller	       Sendt	        Mottatt	            Sjekk	       Sekunder	   Sendt	     Mottatt
25,05     	  20,52   	    33941  	      1001010      	0         	    FALSE 	       19,59  	   4A     	     0         
24,85     	  20,50   	    34110  	      1000101      	0         	    FALSE 	       19,69  	   45     	     0         
24,58     	  20,50   	    34290  	      1001010      	0         	    FALSE 	       19,79  	   4A     	     0         
24,13     	  20,45   	    34470  	      1000101      	0         	    FALSE 	       19,89  	   45     	     0         
22,25     	  20,43   	    34647  	      1001010      	0         	    FALSE 	       19,99  	   4A     	     0         
22,25     	  20,62   	    34798  	      1000101      	0         	    FALSE 	       20,10  	   45     	     0         
21,29     	  20,61   	    35005  	      1001010      	0         	    FALSE 	       20,19  	   4A     	     0         
21,09     	  20,66   	    35154  	      1000101      	0         	    FALSE 	       20,31  	   45     	     0         
21,89     	  20,77   	    35358  	      1001010      	0         	    FALSE 	       20,39  	   4A     	     0         
24,51     	  20,80   	    35553  	      1000101      	0         	    FALSE 	       20,49  	   45     	     0         
24,66     	  20,72   	    35692  	      1001010      	0         	    FALSE 	       20,61  	   4A     	     0         
25,16     	  20,53   	    35884  	      1000101      	0         	    FALSE 	       20,69  	   45     	     0         
24,83     	  20,57   	    36044  	      1001010      	0         	    FALSE 	       20,79  	   4A     	     0         
25,02     	  20,54   	    36233  	      1000101      	0         	    FALSE 	       20,89  	   45     	     0         
22,15     	  20,45   	    36408  	      1001010      	0         	    FALSE 	       20,99  	   4A     	     0         
21,90     	  20,81   	    36605  	      1000101      	0         	    FALSE 	       21,11  	   45     	     0         
21,65     	  20,72   	    36817  	      1001010      	0         	    FALSE 	       21,22  	   4A     	     0         
20,96     	  20,92   	    37000  	      1000101      	0         	    FALSE 	       21,32  	   45     	     0         
21,88     	  20,72   	    37182  	      1001010      	0         	    FALSE 	       21,42  	   4A     	     0         
25,35     	  20,87   	    37379  	      1000101      	0         	    FALSE 	       21,51  	   45     	     0         
24,75     	  20,72   	    37497  	      1001010      	0         	    FALSE 	       21,62  	   4A     	     0         
24,64     	  20,42   	    37666  	      1000101      	0         	    FALSE 	       21,69  	   45     	     0         
25,40     	  20,53   	    37873  	      1001010      	0         	    FALSE 	       21,78  	   4A     	     0         
